,Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor,Revenue per Theater,Is Blockbuster,Profitability,Genre
369,High School Musical 3: Senior Year,42030184,90559416,46.4,3623,11600,2008-10-24,Walt Disney Studios Motion Pictures,24995.6985923268,Yes,2.154628112025396,Other
370,The Conjuring,41855326,137400141,30.5,2903,14417,2013-07-19,Warner Bros.,47330.39648639339,No,3.2827397163266627,Other
371,Ready Player One,41764050,137690172,30.3,4234,9863,2018-03-29,Warner Bros.,32520.116202172885,No,3.296858709823401,Other
372,Ice Age: Dawn of the Dinosaurs,41690382,196573705,21.2,4099,10170,2009-07-01,Twentieth Century Fox,47956.50280556233,No,4.715085244361637,Other
373,The Hangover Part III,41671198,112200072,37.1,3555,11721,2013-05-23,Warner Bros.,31561.201687763714,No,2.692508912270773,Other
374,Ocean's Eight,41607378,140218711,29.7,4145,10037,2018-06-08,Warner Bros.,33828.398311218334,No,3.37004439453022,Other
375,Big Daddy,41536370,163479795,25.4,3027,13721,1999-06-25,Sony Pictures Releasing,54007.20019821606,No,3.9358228704145306,Other
376,Happy Feet,41533432,198000317,21.0,3804,10918,2006-11-17,Warner Bros.,52050.55651945321,No,4.767251524025272,Other
377,Ride Along,41516170,134938200,30.8,2663,15590,2014-01-17,Universal Pictures,50671.498310176496,No,3.250256466335888,Other
378,Grown Ups 2,41508572,133668525,31.0,3491,11890,2013-07-12,Sony Pictures Releasing,38289.465769120594,No,3.2202631543190643,Other
379,The Perfect Storm,41325042,182618434,22.6,3407,12129,2000-06-30,Warner Bros.,53600.94922218961,No,4.419074371418667,Other
380,Kung Fu Panda 3,41282042,143528619,28.8,3955,10437,2016-01-29,Twentieth Century Fox,36290.42199747155,No,3.476780993537093,Other
381,The Vow,41202458,125014030,33.0,2958,13929,2012-02-10,Screen Gems,42263.02569303584,No,3.0341400991173875,Other
382,Deep Impact,41152375,140464664,29.3,3156,13039,1998-05-08,Paramount Pictures,44507.18124207858,No,3.413282076672367,Other
383,Once Upon a Time... in Hollywood,41082018,142502728,28.8,3659,11227,2019-07-26,Sony Pictures Releasing,38945.81251708117,No,3.4687372952321867,Other
384,Shutter Island,41062440,128012934,32.1,2991,13728,2010-02-19,Paramount Pictures,42799.376128385156,No,3.1175189297080252,Other
385,Twister,41059405,241721524,17.0,2414,17008,1996-05-10,Warner Bros.,100133.1913835957,No,5.887117068549824,Other
386,Independence Day: Resurgence,41039944,103144286,39.8,4130,9937,2016-06-24,Twentieth Century Fox,24974.40338983051,No,2.513265758842166,Other
387,Madea Goes to Jail,41030947,90508336,45.3,2032,20192,2009-02-20,Lionsgate Films,44541.503937007874,Yes,2.205855399827842,Other
388,Dune: Part One,41011174,108327830,37.9,4125,9942,2021-10-22,Warner Bros.,26261.292121212122,No,2.641422310904828,Other
389,Casino Royale,40833156,167445960,24.4,3434,11890,2006-11-17,Sony Pictures Releasing,48761.19976703553,No,4.100735196662241,Other
390,Paranormal Activity 2,40678424,84752907,48.0,3216,12648,2010-10-22,Paramount Pictures,26353.515858208953,Yes,2.0834855106481016,Other
391,Friday the 13th,40570365,65002019,62.4,3105,13066,2009-02-13,Warner Bros.,20934.62769726248,Yes,1.6022044415917875,Other
392,Grown Ups,40506562,162001186,25.0,3534,11461,2010-06-25,Sony Pictures Releasing,45840.743067345786,No,3.999381285432222,Other
393,G.I. Joe: Retaliation,40501814,122523060,33.1,3719,10890,2013-03-28,Paramount Pictures,32945.162678139284,No,3.0251252450075445,Other
394,Batman,40489746,251188924,16.1,2194,18454,1989-06-23,Warner Bros.,114489.02643573382,No,6.203766356054691,Other
395,The Mummy: Tomb of the Dragon Emperor,40457770,102491776,39.5,3760,10760,2008-08-01,Universal Pictures,27258.451063829787,No,2.533302651134751,Other
396,The Conjuring 2,40406314,102470008,39.4,3343,12086,2016-06-10,Warner Bros.,30652.11127729584,No,2.5359899940390505,Other
397,Glass,40328920,111048468,36.3,3841,10499,2019-01-18,Universal Pictures,28911.342879458476,No,2.7535691012801733,Other
398,The Last Airbender,40325019,131772187,30.6,3169,12724,2010-07-01,Paramount Pictures,41581.630482802146,No,3.267752632676999,Other
399,Daredevil,40310419,102543518,39.3,3471,11613,2003-02-14,Twentieth Century Fox,29542.932296168252,No,2.5438464928881044,Other
400,Power Rangers,40300288,85364450,47.2,3693,10912,2017-03-24,Lionsgate Films,23115.20444083401,Yes,2.1182094281807613,Other
401,Insidious: Chapter 2,40272103,83586447,48.2,3049,13208,2013-09-13,FilmDistrict,27414.380780583797,Yes,2.0755421439004564,Other
402,Scary Movie 4,40222875,90710620,44.3,3602,11166,2006-04-14,-,25183.40366463076,Yes,2.2551998085666427,Other
403,Safe House,40172720,126373434,31.8,3119,12880,2012-02-10,Universal Pictures,40517.29208079512,No,3.145752490744963,Other
404,Charlie's Angels,40128550,125305545,32.0,3037,13213,2000-11-03,Sony Pictures Releasing,41259.64603226868,No,3.1226033584567596,Other
405,The Fast and the Furious,40089015,144533925,27.7,2628,15254,2001-06-22,Universal Pictures,54997.688356164384,No,3.605324925044928,Other
406,Cloverfield,40058229,80048433,50.0,3411,11743,2008-01-18,Paramount Pictures,23467.73175021988,Yes,1.9983018470437124,Other
407,Halloween Ends,40050355,64079860,62.5,3901,10266,2022-10-14,Universal Pictures,16426.52140476801,Yes,1.5999823222540723,Other
408,Chicken Little,40049778,135386665,29.6,3654,10960,2005-11-04,Walt Disney Studios Motion Pictures,37051.63245758073,No,3.3804598117872215,Other
409,Click,40011365,137355633,29.1,3749,10672,2006-06-23,Revolution Studios,36637.93891704454,No,3.432915447898366,Other
410,Split,40010975,138291365,28.9,3038,13170,2017-01-20,Universal Pictures,45520.52830809743,No,3.4563357928668323,Other
411,50 First Dates,39852237,120908074,33.0,3591,11097,2004-02-13,Sony Pictures Releasing,33669.75048732944,No,3.0339093386401372,Other
412,Wild Hogs,39699023,168273550,23.6,3287,12077,2007-03-02,Walt Disney Studios Motion Pictures,51193.65682993611,No,4.238732776874635,Other
413,Sherlock Holmes: A Game of Shadows,39637079,186848418,21.2,3703,10704,2011-12-16,Warner Bros.,50458.66000540103,No,4.713980513044365,Other
414,The Waterboy,39414071,161491646,24.4,2664,14795,1998-11-06,Walt Disney Studios Motion Pictures,60619.987237237234,No,4.097309460877563,Other
415,Rio 2,39327869,131538435,29.9,3948,9961,2014-04-11,Twentieth Century Fox,33317.73936170213,No,3.3446621529379077,Other
416,Rio,39225962,143619809,27.3,3826,10252,2011-04-15,Twentieth Century Fox,37537.84866701516,No,3.6613457434135075,Other
417,Taken 3,39201657,89256424,43.9,3594,10907,2015-01-09,Twentieth Century Fox,24834.842515303284,Yes,2.2768533483163735,Other
418,The Break-Up,39172785,118703275,33.0,3070,12759,2006-06-02,Universal Pictures,38665.561889250814,No,3.0302485513858666,Other
419,The Good Dinosaur,39155217,123087120,31.8,3749,10444,2015-11-25,Walt Disney Studios Motion Pictures,32831.98719658575,No,3.143568837838391,Other
420,Ocean's Twelve,39153380,125544280,31.2,3290,11900,2004-12-10,Warner Bros.,38159.3556231003,No,3.2064736173479784,Other
421,The Grudge,39128715,110359362,35.5,3245,12058,2004-10-22,Sony Pictures Releasing,34009.04838212635,No,2.8204187640713476,Other
422,Magic Mike,39127170,113721571,34.4,2930,13353,2012-06-29,Warner Bros.,38812.822866894196,No,2.9064604212367007,Other
423,Onward,39119861,61555145,63.6,4310,9076,2020-03-06,Walt Disney Studios Motion Pictures,14281.936194895592,Yes,1.5735011175014144,Other
424,The Heat,39115043,159582188,24.5,3181,12296,2013-06-28,Twentieth Century Fox,50167.30210625589,No,4.079816248700021,Other
425,Kingsman: The Golden Circle,39023010,100229647,38.9,4003,9748,2017-09-22,Twentieth Century Fox,25038.632775418435,No,2.5684755481445434,Other
426,Morbius,39005895,73865530,52.8,4268,9139,2022-04-01,Columbia Pictures,17306.825210871604,Yes,1.8937017084212526,Other
427,Wonka,39005800,218402312,17.9,4203,9280,2023-12-15,Warner Bros.,51963.43373780633,No,5.599226576560409,Other
428,Dinosaur,38854851,137748063,28.2,3257,11929,2000-05-19,Walt Disney Studios Motion Pictures,42292.92692661959,No,3.5451960168371253,Other
429,Daddy's Home,38740203,150357137,25.8,3271,11843,2015-12-25,Paramount Pictures,45966.71874044635,No,3.8811654394273565,Other
430,Get Smart,38683480,130319208,29.7,3911,9890,2008-06-20,Warner Bros.,33321.19867041677,No,3.3688594717951954,Other
431,Fifty Shades Freed,38560195,100407760,38.4,3768,10233,2018-02-09,Universal Pictures,26647.494692144373,No,2.6039225164706767,Other
432,You Don't Mess with the Zohan,38531374,100018837,38.5,3462,11129,2008-06-06,Sony Pictures Releasing,28890.478625072214,No,2.5957765482227546,Other
433,The Legend of Tarzan,38527856,126643061,30.4,3561,10819,2016-07-01,Warner Bros.,35563.903678741925,No,3.287051867095849,Other
434,Over the Hedge,38457003,155019340,24.8,4059,9474,2006-05-19,DreamWorks,38191.51022419315,No,4.030978181009061,Other
435,The Cat in the Hat,38329160,101149285,37.9,3464,11065,2003-11-21,Universal Pictures,29200.140011547344,No,2.6389643028962806,Other
436,Alien vs. Predator,38291056,80282231,47.7,3395,11278,2004-08-13,Twentieth Century Fox,23647.19617083947,Yes,2.0966314170076688,Other
437,The Angry Birds Movie,38155177,107509366,35.5,3932,9703,2016-05-20,Sony Pictures Releasing,27342.158189216683,No,2.8176875185246812,Other
438,The Bourne Legacy,38142825,113203870,33.7,3745,10185,2012-08-10,Universal Pictures,30228.002670226968,No,2.9678942238809003,Other
439,Ocean's Eleven,38107822,183417150,20.8,3075,12392,2001-12-07,Warner Bros.,59647.85365853659,No,4.813110284812393,Other
440,Rango,38079323,123477607,30.8,3917,9721,2011-03-04,Paramount Pictures,31523.514679601736,No,3.2426418662957848,Other
441,Inglourious Basterds,38054676,120540719,31.6,3165,12023,2009-08-21,The Weinstein Company,38085.53522906793,No,3.1675665560784174,Other
442,Bee Movie,38021044,126631277,30.0,3928,9679,2007-11-02,DreamWorks,32238.10514256619,No,3.330557598576199,Other
443,Ace Ventura: When Nature Calls,37804076,108385533,34.9,2652,14254,1995-11-10,Warner Bros.,40869.35633484163,No,2.867032988717936,Other
444,Charlie's Angels: Full Throttle,37634221,100830111,37.3,3459,10880,2003-06-27,Sony Pictures Releasing,29150.07545533391,No,2.679213447782007,Other
445,Hop,37543710,108085305,34.7,3579,10490,2011-04-01,Universal Pictures,30199.861693210394,No,2.878919131859904,Other
446,Gone Girl,37513109,167767189,22.4,3014,12446,2014-10-03,Twentieth Century Fox,55662.63735899137,No,4.472228334900207,Other
447,District 9,37354308,115646235,32.3,3049,12251,2009-08-14,TriStar Pictures,37929.23417513939,No,3.0959276504332514,Other
448,Pacific Rim,37285325,101802906,36.6,3275,11384,2013-07-12,Warner Bros.,31084.85679389313,No,2.730374644716118,Other
449,Dungeons & Dragons: Honor Among Thieves,37205784,93277026,39.9,3855,9651,2023-03-31,Paramount Pictures,24196.375097276265,No,2.507057128536789,Other
450,Mr. Deeds,37162787,126293452,29.4,3231,11501,2002-06-28,Sony Pictures Releasing,39088.03837821108,No,3.398384841266076,Other
451,Annabelle,37134255,84273813,44.1,3185,11659,2014-10-03,Warner Bros.,26459.595918367348,Yes,2.2694359426357145,Other
